trial_index,label,duration_sec,blink_rate,alpha_power
3,Comment/Active Shielding: On,44.547,4.0406761398073945,7.848008441717447e-06
5,Stimulus/S 11,1.0050000000000026,59.70149253731328,6.245401511699587e-06
7,Stimulus/S 11,1.0,0.0,9.828476391196842e-06
11,Stimulus/S 11,1.0,0.0,8.868757683475064e-06
13,Stimulus/S 11,1.0009999999999977,0.0,4.838678910505236e-06
15,Stimulus/S 12,19.981,18.017116260447423,9.640908834636752e-06
17,Stimulus/S 12,19.997,3.0004500675101267,8.891231014429781e-06
19,Stimulus/S 12,19.997,3.0004500675101267,9.25624203391349e-06
21,Stimulus/S 12,19.998000000000005,0.0,7.643766154610911e-06
23,Stimulus/S 12,19.996999999999986,3.0004500675101284,8.484074733177534e-06
25,Stimulus/S 12,19.997000000000014,15.002250337550624,9.108552948185845e-06
27,Stimulus/S 12,19.996999999999986,9.001350202530386,1.0954861239053613e-05
29,Stimulus/S 12,19.99800000000002,12.00120012001199,1.0363846680679112e-05
31,Stimulus/S 12,19.996999999999986,0.0,7.987338439873555e-06
33,Stimulus/S 12,19.997000000000014,0.0,8.875796000190574e-06
35,Stimulus/S 12,19.996999999999986,3.0004500675101284,9.992984679740197e-06
37,Stimulus/S 12,19.99799999999999,12.001200120012008,8.533609938829218e-06
39,Stimulus/S 12,19.996000000000038,0.0,7.309217370706648e-06
41,Stimulus/S 12,19.99799999999999,3.000300030003002,7.502997848280758e-06
43,Stimulus/S 12,19.99599999999998,0.0,9.853881386975037e-06
45,Stimulus/S 12,19.999000000000024,6.000300015000743,8.447775017514062e-06
47,Stimulus/S 12,19.996999999999957,0.0,8.799070512073778e-06
49,Stimulus/S 12,19.997000000000014,0.0,8.936961017091801e-06
51,Stimulus/S 12,19.997000000000014,3.0004500675101244,1.0499607367816904e-05
53,Stimulus/S 12,19.997000000000014,3.0004500675101244,1.0475597187190097e-05
55,Stimulus/S 12,19.99799999999999,3.000300030003002,8.68538825682112e-06
57,Stimulus/S 12,19.997000000000014,6.000900135020249,7.232173331865114e-06
59,Stimulus/S 12,19.99799999999999,3.000300030003002,6.845374326984647e-06
61,Stimulus/S 12,19.997000000000014,0.0,7.2828565797814975e-06
63,Stimulus/S 12,19.996999999999957,6.000900135020267,9.087380932719645e-06
65,Stimulus/S 12,19.99700000000007,3.0004500675101156,8.925226716349679e-06
67,Stimulus/S 12,19.996999999999957,0.0,7.930388928683613e-06
69,Stimulus/S 12,19.99599999999998,3.000600120024008,7.358839909899159e-06
71,Stimulus/S 12,19.999000000000024,3.0001500075003715,7.980108631540219e-06
73,Stimulus/S 12,20.99599999999998,42.86530767765292,8.730014086974977e-06
75,Stimulus/S 13,1.0159999999999627,0.0,6.482741688543559e-06
77,Stimulus/S 13,1.0,0.0,8.254372132735941e-06
79,Stimulus/S 13,1.0,0.0,1.0615116627553297e-05
83,Stimulus/S 13,10.788000000000011,50.055617352613964,4.9308289556151225e-06
85,Stimulus/S 21,1.0109999999999673,0.0,6.030772743532561e-06
89,Stimulus/S 21,1.0,120.0,6.748357990712203e-06
91,Stimulus/S 21,1.0,0.0,4.860827796870617e-06
93,Stimulus/S 21,1.0009999999999764,0.0,1.068527922449469e-05
95,Stimulus/S 22,19.980999999999995,39.03708523096943,6.331213635698862e-06
97,Stimulus/S 22,19.998000000000047,51.00510051005089,8.991511925862369e-06
99,Stimulus/S 22,19.996999999999957,33.00495074261146,9.26797694270475e-06
101,Stimulus/S 22,19.996000000000095,48.009601920383844,8.730241036198824e-06
103,Stimulus/S 22,19.997999999999934,66.00660066006623,9.886375579004005e-06
105,Stimulus/S 22,19.996999999999957,39.00585087763173,7.929912288741378e-06
107,Stimulus/S 22,19.998000000000047,48.0048004800479,6.66295074212005e-06
109,Stimulus/S 22,19.99599999999998,63.01260252050417,7.016141464163358e-06
111,Stimulus/S 22,19.998000000000047,60.00600060005987,7.639597277396318e-06
113,Stimulus/S 22,19.996999999999957,51.00765114767226,8.573436679379689e-06
115,Stimulus/S 22,19.998000000000047,60.00600060005987,8.721319866641151e-06
117,Stimulus/S 22,19.996999999999957,60.00900135020266,8.601590694579678e-06
119,Stimulus/S 22,19.99700000000007,63.00945141771243,7.805368837481479e-06
121,Stimulus/S 22,19.997999999999934,21.002100210021073,8.042648904049353e-06
123,Stimulus/S 22,20.99599999999998,20.003810249571362,8.164059046989691e-06
125,Stimulus/S 23,1.0149999999999864,0.0,3.175311954860307e-06
127,Stimulus/S 23,1.00100000000009,0.0,5.403014734861934e-06
129,Stimulus/S 23,1.0,0.0,4.357612125877543e-06
